"State_ab","County","City","State_Name","Place","Type","Primary","Zip_Code","Area_Code","ALand","AWater","Lat","Lon","Mean","Median","Stdev","sum_w","address","country","latitude","longitude","name","postalCode","county_name","crime_rate_per_100000","index","EDITION","PART","IDNO","CPOPARST","CPOPCRIM","AG_ARRST","AG_OFF","COVIND","INDEX","MODINDX","MURDER","RAPE","ROBBERY","AGASSLT","BURGLRY","LARCENY","MVTHEFT","ARSON","population","FIPS_ST","FIPS_CTY"
"AK","Aleutians East Borough","Juneau","Alaska","Akutan city","Track","Track",99801,"907",4928827968,522293742,58.4343023,-133.8811887,81155,67934,62739,375.843103639147,"607 W Willoughby Ave","US",58.30058,-134.418406,"Domino's Pizza","99801","Aleutians East Borough, AK",0,3005,1,4,69,1002,0,1,1,100,0,0,0,0,0,0,0,0,0,0,3092,2,13
"AK","Aleutians East Borough","Eagle River","Alaska","Akutan city","Track","Track",99577,"907",9185110,0,61.3286309,-149.5379974,100792,97257,64444,833.996689635693,"11716 Old Glenn Hwy","US",61.3262,-149.5718,"Arby's","99577","Aleutians East Borough, AK",0,3005,1,4,69,1002,0,1,1,100,0,0,0,0,0,0,0,0,0,0,3092,2,13
"AK","Aleutians East Borough","Anchorage","Alaska","Akutan city","Track","Track",99517,"907",1612672,0,61.1879482,-149.9226985,58345,300000,41274,287.991024360576,"800 W Northern Lights Blvd","US",61.195171,-149.898216,"Mcdonald's","99503","Aleutians East Borough, AK",0,3005,1,4,69,1002,0,1,1,100,0,0,0,0,0,0,0,0,0,0,3092,2,13
"AK","Aleutians East Borough","Anchorage","Alaska","Akutan city","Track","Track",99517,"907",1612672,0,61.1879482,-149.9226985,58345,300000,41274,287.991024360576,"800 E Dimond Blvd 025","US",61.14323525,-149.86685425,"Arby's","99515","Aleutians East Borough, AK",0,3005,1,4,69,1002,0,1,1,100,0,0,0,0,0,0,0,0,0,0,3092,2,13
"AK","Aleutians East Borough","Anchorage","Alaska","Akutan city","Track","Track",99517,"907",1612672,0,61.1879482,-149.9226985,58345,300000,41274,287.991024360576,"9001 Jewel Lake Rd","US",61.1389389,-149.951375,"Subway","99502","Aleutians East Borough, AK",0,3005,1,4,69,1002,0,1,1,100,0,0,0,0,0,0,0,0,0,0,3092,2,13
"AK","Aleutians East Borough","Anchorage","Alaska","Akutan city","Track","Track",99517,"907",1612672,0,61.1879482,-149.9226985,58345,300000,41274,287.991024360576,"1299 N Muldoon Rd.","US",61.22662692,-149.7408595,"Regal Cinemas Tikahtnu  16 Imax & Rpx","99504","Aleutians East Borough, AK",0,3005,1,4,69,1002,0,1,1,100,0,0,0,0,0,0,0,0,0,0,3092,2,13
"AK","Aleutians East Borough","Anchorage","Alaska","Akutan city","Track","Track",99517,"907",1612672,0,61.1879482,-149.9226985,58345,300000,41274,287.991024360576,"320 W 5th Ave","US",61.217082,-149.887645,"Arby's","99501","Aleutians East Borough, AK",0,3005,1,4,69,1002,0,1,1,100,0,0,0,0,0,0,0,0,0,0,3092,2,13
"AK","Aleutians East Borough","Kenai","Alaska","Akutan city","Track","Track",99611,"907",74051354,139942927,60.5838565,-151.3261799,66103,60259,51609,227.922689237805,"10447 Spur Hwy","US",60.55963,-151.23544,"Mcdonalds","99611","Aleutians East Borough, AK",0,3005,1,4,69,1002,0,1,1,100,0,0,0,0,0,0,0,0,0,0,3092,2,13
"AK","Aleutians East Borough","Anchorage","Alaska","Akutan city","Track","Track",99517,"907",1612672,0,61.1879482,-149.9226985,58345,300000,41274,287.991024360576,"1166 N Muldoon Rd","US",61.203697,-149.74467,"Mcdonald's","99504","Aleutians East Borough, AK",0,3005,1,4,69,1002,0,1,1,100,0,0,0,0,0,0,0,0,0,0,3092,2,13
"AK","Fairbanks North Star Borough","Fairbanks","Alaska","Goldstream","CDP","place",99709,"907",222739445,95236,64.951999,-147.970602,97802,300000,65155,580.290862327399,"1859 Airport Way","US",64.8366,-147.755,"Wendy's","99701","Fairbanks North Star Borough, AK",182.2055837,1601,1,4,75,34603,34603,4,4,100,183,1549,3,29,39,112,148,1283,118,5,100436,2,90
"AK","Fairbanks North Star Borough","Fairbanks","Alaska","Goldstream","CDP","place",99709,"907",222739445,95236,64.951999,-147.970602,97802,300000,65155,580.290862327399,"89 College Rd","US",64.84024,-147.71043,"Pizza Hut","99701","Fairbanks North Star Borough, AK",182.2055837,1601,1,4,75,34603,34603,4,4,100,183,1549,3,29,39,112,148,1283,118,5,100436,2,90
"AK","Fairbanks North Star Borough","Fairbanks","Alaska","Goldstream","CDP","place",99709,"907",222739445,95236,64.951999,-147.970602,97802,300000,65155,580.290862327399,"1391 University Ave S","US",64.83544,-147.8117,"Carl's Jr","99709","Fairbanks North Star Borough, AK",182.2055837,1601,1,4,75,34603,34603,4,4,100,183,1549,3,29,39,112,148,1283,118,5,100436,2,90
"AK","Fairbanks North Star Borough","Fairbanks","Alaska","Goldstream","CDP","place",99709,"907",222739445,95236,64.951999,-147.970602,97802,300000,65155,580.290862327399,"59 College Rd Ste 219","US",64.84024,-147.71043,"Domino's Pizza","99701","Fairbanks North Star Borough, AK",182.2055837,1601,1,4,75,34603,34603,4,4,100,183,1549,3,29,39,112,148,1283,118,5,100436,2,90
"AL","Autauga County","Gardendale","Alabama","Autaugaville","Track","Track",35071,"205",40159982,0,33.6758356,-86.7966575,64478,53139,50071,1683.78882276732,"1284 Decatur Hwy","US",33.656798,-86.812118,"Captain D's","35071","Autauga County, AL",251.6019259,1136,1,4,1,57161,54604,3,3,100,139,1765,3,15,34,87,447,1233,85,108,55246,1,1
"AL","Autauga County","Gardendale","Alabama","Autaugaville","Track","Track",35071,"205",40159982,0,33.6758356,-86.7966575,64478,53139,50071,1683.78882276732,"1119 Main Street","US",33.654425,-86.81143,"Krystal","35071","Autauga County, AL",251.6019259,1136,1,4,1,57161,54604,3,3,100,139,1765,3,15,34,87,447,1233,85,108,55246,1,1
"AL","Autauga County","Jackson","Alabama","Autaugaville","Track","Track",36545,"251",107872399,2504038,31.5011616,-87.8723338,40592,23781,37971,300.250093123188,"4337 Robinson St","US",32.300625709,-90.258128236,"Popeye's Chicken & Biscuits","39209","Autauga County, AL",251.6019259,1136,1,4,1,57161,54604,3,3,100,139,1765,3,15,34,87,447,1233,85,108,55246,1,1
"AL","Autauga County","Decatur","Alabama","Autaugaville","Track","Track",35603,"256",4144053,2397,34.5540918,-87.010172,74890,63155,59315,854.099360641619,"2120 6th Ave SE","US",34.5709,-86.97246,"Arby's","35601","Autauga County, AL",251.6019259,1136,1,4,1,57161,54604,3,3,100,139,1765,3,15,34,87,447,1233,85,108,55246,1,1
"AL","Autauga County","Brewton","Alabama","Autaugaville","Track","Track",36426,"251",105290359,1106327,31.190044,-87.0635248,63662,57710,42797,241.254041615259,"300 South Blvd","US",31.10098,-87.07676,"Arby's","36426","Autauga County, AL",251.6019259,1136,1,4,1,57161,54604,3,3,100,139,1765,3,15,34,87,447,1233,85,108,55246,1,1
"AL","Autauga County","Russellville","Alabama","Autaugaville","Track","Track",35653,"256",28670329,255395,34.5125993,-87.7533372,78787,48388,70841,211.660310665613,"Highway 43 and Gandy Street","US",34.50972,-87.71729,"Kfc","35653","Autauga County, AL",251.6019259,1136,1,4,1,57161,54604,3,3,100,139,1765,3,15,34,87,447,1233,85,108,55246,1,1
